neg,neu,pos,compound
0.138,0.862,0.0,-0.9757
0.176,0.694,0.13,-0.7062
0.121,0.828,0.051,-0.6369
0.275,0.71,0.015,-0.9612
0.062,0.753,0.185,0.9471
0.071,0.831,0.098,0.5332
0.07,0.845,0.084,0.4727
0.127,0.693,0.179,0.6801
0.078,0.869,0.053,-0.9389
0.072,0.798,0.13,0.962
0.087,0.725,0.188,0.8481
0.093,0.859,0.048,-0.9368
0.06,0.778,0.162,0.9658
0.041,0.839,0.12,0.8674
0.17,0.778,0.051,-0.9418
0.051,0.844,0.105,0.935
0.047,0.824,0.129,0.9514
0.098,0.775,0.127,0.9034
0.008,0.83,0.162,0.9921
0.094,0.874,0.032,-0.9815
0.0,1.0,0.0,0.0
0.038,0.962,0.0,-0.3716
0.08,0.858,0.062,-0.7489
0.127,0.819,0.054,-0.9623
0.248,0.752,0.0,-0.8488
0.0,0.705,0.295,0.9949
0.054,0.851,0.095,0.95
0.136,0.806,0.058,-0.903
0.146,0.754,0.1,-0.8422
0.073,0.79,0.137,0.9881
0.085,0.895,0.019,-0.9381
0.099,0.795,0.106,-0.0754
0.1,0.828,0.072,-0.4401
0.097,0.871,0.031,-0.9394
0.172,0.72,0.109,-0.9777
0.314,0.686,0.0,-0.9563
0.055,0.888,0.058,-0.578
0.084,0.812,0.104,0.7644
0.089,0.883,0.027,-0.8996
0.189,0.774,0.037,-0.9414
0.0,0.838,0.162,0.9704
0.059,0.604,0.337,0.9833
0.095,0.809,0.096,0.323
0.116,0.785,0.099,0.204
0.025,0.774,0.201,0.9985
0.138,0.765,0.097,-0.8927
0.065,0.849,0.086,0.7968
0.099,0.835,0.066,-0.8502
0.0,0.668,0.332,0.9794
0.047,0.661,0.292,0.9055
0.165,0.829,0.006,-0.9807
0.08,0.859,0.061,-0.3671
0.04,0.847,0.113,0.9556
0.158,0.842,0.0,-0.8706
0.048,0.831,0.121,0.7301
0.083,0.726,0.192,0.875
0.087,0.798,0.115,0.6987
0.142,0.858,0.0,-0.8908
